 format: day,hour,forecast,value  location:51_129 Start : 20221229 
 29,2300,+42,2.700000 
 29,2300,+43,2.700000 
 29,2300,+44,2.600000 
 29,2300,+45,2.300000 
 29,2300,+46,2.200000 
 29,2300,+47,2.600000 
 29,2300,+48,2.900000 
 29,2300,+49,3.000000 
 29,2300,+50,3.000000 
 29,2300,+51,3.100000 
 29,2300,+52,3.300000 
 29,2300,+53,3.800000 
 29,2300,+54,4.200000 
 29,2300,+55,4.600000 
 29,2300,+56,4.500000 
 29,2300,+57,3.600000 
 29,2300,+58,4.200000 
 29,2300,+59,4.700000 
 29,2300,+60,4.700000 
 29,2300,+61,4.400000 
 29,2300,+62,4.500000 
 29,2300,+63,5.000000 
 29,2300,+64,5.200000 
 Start : 20221230 
 30,0200,+6,2.500000 
 30,0200,+7,2.600000 
 30,0200,+8,2.500000 
 30,0200,+9,2.200000 
 30,0200,+10,2.200000 
 30,0200,+11,2.100000 
 30,0200,+12,1.800000 
 30,0200,+13,1.500000 
 30,0200,+14,1.100000 
 30,0200,+15,1.100000 
 30,0200,+16,1.200000 
 30,0200,+17,1.000000 
 30,0200,+18,0.800000 
 30,0200,+19,1.000000 
 30,0200,+20,1.100000 
 30,0200,+21,1.300000 
 30,0200,+22,1.400000 
 30,0200,+23,1.300000 
 30,0200,+24,0.500000 
 30,0200,+25,1.200000 
 30,0200,+26,2.500000 
 30,0200,+27,3.200000 
 30,0200,+28,3.700000 
 30,0200,+29,3.100000 
 30,0200,+30,2.600000 
 30,0200,+31,2.800000 
 30,0200,+32,2.600000 
 30,0200,+33,3.000000 
 30,0200,+34,2.900000 
 30,0200,+35,3.000000 
 30,0200,+36,2.800000 
 30,0200,+37,2.600000 
 30,0200,+38,2.700000 
 30,0200,+39,2.700000 
 30,0200,+40,2.700000 
 30,0200,+41,2.600000 
 30,0200,+42,2.300000 
 30,0200,+43,2.200000 
 30,0200,+44,2.600000 
 30,0200,+45,2.900000 
 30,0200,+46,3.000000 
 30,0200,+47,3.000000 
 30,0200,+48,3.100000 
 30,0200,+49,3.300000 
 30,0200,+50,3.800000 
 30,0200,+51,4.200000 
 30,0200,+52,4.600000 
 30,0200,+53,4.500000 
 30,0200,+54,3.600000 
 30,0200,+55,4.200000 
 30,0200,+56,4.700000 
 30,0200,+57,4.700000 
 30,0200,+58,4.400000 
 30,0200,+59,4.500000 
 30,0200,+60,5.000000 
 30,0200,+61,5.200000 
 30,0500,+6,2.200000 
 30,0500,+7,2.200000 
 30,0500,+8,2.100000 
 30,0500,+9,1.800000 
 30,0500,+10,1.500000 
 30,0500,+11,1.100000 
 30,0500,+12,1.100000 
 30,0500,+13,1.200000 
 30,0500,+14,1.000000 
 30,0500,+15,0.800000 
 30,0500,+16,1.000000 
 30,0500,+17,1.100000 
 30,0500,+18,1.300000 
 30,0500,+19,1.400000 
 30,0500,+20,1.300000 
 30,0500,+21,0.500000 
 30,0500,+22,1.200000 
 30,0500,+23,2.500000 
 30,0500,+24,3.200000 
 30,0500,+25,3.700000 
 30,0500,+26,3.100000 
 30,0500,+27,2.600000 
 30,0500,+28,2.800000 
 30,0500,+29,2.600000 
 30,0500,+30,3.000000 
 30,0500,+31,2.900000 
 30,0500,+32,3.000000 
 30,0500,+33,2.800000 
 30,0500,+34,2.600000 
 30,0500,+35,2.700000 
 30,0500,+36,2.700000 
 30,0500,+37,2.700000 
 30,0500,+38,2.600000 
 30,0500,+39,2.300000 
 30,0500,+40,2.200000 
 30,0500,+41,2.600000 
 30,0500,+42,2.900000 
 30,0500,+43,3.000000 
 30,0500,+44,3.000000 
 30,0500,+45,3.100000 
 30,0500,+46,3.300000 
 30,0500,+47,3.800000 
 30,0500,+48,4.200000 
 30,0500,+49,4.600000 
 30,0500,+50,4.500000 
 30,0500,+51,3.600000 
 30,0500,+52,4.200000 
 30,0500,+53,4.700000 
 30,0500,+54,4.700000 
 30,0500,+55,4.400000 
 30,0500,+56,4.500000 
 30,0500,+57,5.000000 
 30,0500,+58,5.200000 
 30,0800,+6,2.100000 
 30,0800,+7,1.900000 
 30,0800,+8,1.600000 
 30,0800,+9,1.600000 
 30,0800,+10,1.500000 
 30,0800,+11,1.500000 
 30,0800,+12,1.400000 
 30,0800,+13,1.300000 
 30,0800,+14,1.300000 
 30,0800,+15,1.400000 
 30,0800,+16,1.500000 
 30,0800,+17,1.500000 
 30,0800,+18,1.200000 
 30,0800,+19,1.600000 
 30,0800,+20,2.600000 
 30,0800,+21,3.400000 
 30,0800,+22,3.900000 
 30,0800,+23,3.300000 
 30,0800,+24,3.000000 
 30,0800,+25,2.800000 
 30,0800,+26,2.600000 
 30,0800,+27,2.500000 
 30,0800,+28,2.600000 
 30,0800,+29,2.700000 
 30,0800,+30,2.800000 
 30,0800,+31,2.900000 
 30,0800,+32,2.900000 
 30,0800,+33,2.900000 
 30,0800,+34,2.800000 
 30,0800,+35,2.600000 
 30,0800,+36,2.900000 
 30,0800,+37,3.400000 
 30,0800,+38,3.100000 
 30,0800,+39,2.700000 
 30,0800,+40,2.900000 
 30,0800,+41,3.200000 
 30,0800,+42,3.500000 
 30,0800,+43,4.000000 
 30,0800,+44,4.400000 
 30,0800,+45,5.000000 
 30,0800,+46,5.300000 
 30,0800,+47,5.000000 
 30,0800,+48,3.800000 
 30,0800,+49,4.200000 
 30,0800,+50,4.800000 
 30,0800,+51,4.900000 
 30,0800,+52,5.000000 
 30,0800,+53,5.300000 
 30,0800,+54,5.500000 
 30,0800,+55,5.500000 
 30,0800,+56,5.400000 
 30,0800,+57,5.300000 
 30,0800,+58,5.200000 
 30,0800,+59,4.800000 
 30,0800,+60,4.400000 
 30,0800,+61,4.000000 
 30,0800,+62,3.800000 
 30,0800,+63,3.600000 
 30,0800,+64,4.100000 
 30,0800,+65,4.500000 
 30,0800,+66,4.300000 
 30,0800,+67,4.300000 
 30,0800,+68,4.300000 
 30,0800,+69,4.300000 
 30,0800,+70,4.200000 
 30,0800,+71,4.000000 
 30,0800,+72,3.100000 
 30,0800,+73,3.100000 
 30,0800,+74,3.100000 
 30,0800,+75,2.900000 
 30,0800,+76,2.900000 
 30,0800,+77,2.700000 
 30,0800,+78,2.600000 
 30,0800,+79,2.500000 
 30,1100,+6,1.600000 
 30,1100,+7,1.500000 
 30,1100,+8,1.500000 
 30,1100,+9,1.400000 
 30,1100,+10,1.300000 
 30,1100,+11,1.300000 
 30,1100,+12,1.400000 
 30,1100,+13,1.500000 
 30,1100,+14,1.500000 
 30,1100,+15,1.200000 
 30,1100,+16,1.600000 
 30,1100,+17,2.600000 
 30,1100,+18,3.400000 
 30,1100,+19,3.900000 
